,motorcycle parking ,driving school ,swimming pool ,private toilet ,car rental ,car wash ,waste disposal ,fountain ,restaurant ,social facility ,parking space ,dentist ,fuel ,theatre ,bench ,bicycle parking ,bus station ,post box ,veterinary ,clock ,grave yard ,townhall ,hunting stand ,school ,shelter ,telephone ,atm ,community centre ,parking ,bbq ,childcare ,courthouse ,cafe ,pharmacy ,marketplace ,post office ,drinking water ,ice cream ,place of worship ,public building ,mobile money agent ,waste basket ,bar ,cinema ,fire station ,doctors ,charging station ,hospital ,bank ,college ,fast food ,arts centre ,grit bin ,taxi ,ferry terminal ,recycling ,biergarten ,kindergarten ,university ,pub ,shower ,parking entrance ,police ,bureau de change ,prison ,toilets ,library ,embassy ,nursing home ,clinic ,vending machine ,water point ,nightclub ,bicycle rental 
government,0.06976738793261689,0.06397380236406433,0.013608399240232563,0.2624455009826441,0.14310474801552128,0.13303287626273544,0.11587473651105354,0.03445657809306993,0.10234297425380252,0.19901178871934105,0.046688434843625684,0.09639250191131148,0.1939941418939094,0.0,0.07283795970038362,0.05867168555761163,0.16084291868073075,0.09984868782714096,0.15502915628598934,0.005380886868448448,0.05113182023004918,0.200720218273914,0.1369738711556051,0.09948220987497117,0.14118432211573198,0.1449724108178912,0.03144716501365544,0.0,0.01873998922920294,-0.007407381292925631,0.1305711212326106,0.18309559128647518,0.07962641659584059,0.13428153421198524,0.1606188406238076,0.21534083840402085,0.11331367277782362,0.02207012666361137,0.0,0.3676348754752387,0.21985867038004808,0.13703009137281763,-0.026986167385119754,0.18028449835340077,0.13501514789914482,0.2324531304100584,0.16860090061838973,0.18625887945890152,0.3207844305538802,0.06721990312142492,0.1483872915590999,0.0,0.02339202558509873,0.12878943725022643,0.18183752867734526,0.05209905877702877,-0.024350896800559154,0.11812348272077727,0.30946616355158363,-0.002849375509092946,0.03954746707843779,0.02338527651954229,0.2743301962843326,0.22157391630701967,0.19641532512505958,0.1080570632114014,0.08677633967813561,0.3775567589649896,0.055765153478764054,0.11940043355079585,0.10925341401137638,0.15520675984122267,-0.043614522094259735,0.08923719125153942
sport wellness,0.18790113388110385,0.25361387405343583,0.3118999469972607,0.12225300892156314,0.20277633120329178,0.16055849571879152,0.08571311451292427,0.14143111007764445,0.13247586979804923,0.29835270483205173,0.13973221794114551,0.11618791698495723,0.08035624233847495,0.0,0.07978124474552167,0.20549809132253966,0.06556573437195157,0.04087285371053841,0.1991755047555482,0.06440102355043642,0.024494476072339316,0.022855501475877064,0.11645987657212112,0.22812020457397833,0.11608432542458816,0.034290376652376,0.07101536240568981,0.0,0.08643769473428721,0.10032042177235186,0.25483338047619,0.017399782520215977,0.07518738819289075,0.25552789851147006,0.21143617220530989,0.013006311398441463,0.15493050625170499,0.18980369362684268,0.0,0.20200749458706074,0.13629080601825005,0.1261692188833456,0.09215274551134339,0.1766615450746275,0.058420086723734756,0.18198918735587763,0.015482284140368778,0.13873259576865923,0.07647327822104577,0.22546774650646745,0.21621787986697616,0.0,0.07204195277281934,0.03406019573408593,0.06258305670382056,0.23219375436253714,0.1513491305916595,0.18532420022182064,0.16598605883647452,0.10908387461190677,0.09190810513761491,0.07070194465683129,0.06367606549409004,0.09945674775501884,0.061743204887375044,0.062182657515517735,0.12411646849930646,0.02495951587136566,0.2625447618395677,0.26806733193065285,0.1743446252585671,0.13912413833886164,0.07971254939796654,0.2717708089698066
transportation,0.32461528670089757,0.27060932414248073,0.056879168951305493,0.20881122448690972,0.2874989571229415,0.15240323915653764,0.20198886422479173,0.031112679364906796,0.08943095665376541,0.27026025804567355,0.311004336821599,0.08072450278700716,0.3041409390959562,0.0,-7.23581290692707e-05,0.3920373874049121,0.352924212334172,0.027404585089443073,0.18003597455049505,-0.0026812412781593714,0.048026248067651336,0.15916987182824194,0.10932769447464508,0.2206201063126329,0.23357890014178523,0.12020039309250542,-0.004289868561109664,0.0,0.28627588744909216,0.10697489572173514,0.2489477589006265,0.20386829221641647,0.011433363815577332,0.16520163345710992,0.11265692675414672,0.0996220594305981,0.23393096248736617,0.04229580637650744,0.0,0.29043732192538696,0.18270032537970898,0.20740496628607347,-0.051693098214243074,0.07660122208973974,0.1588720355154351,0.023254793823544142,0.2073530918335729,0.15472338818132103,0.0935510790953043,0.1259213971894672,0.25593220740428013,0.0,0.09413090889515349,0.31031059958413143,0.43286500004026107,0.24276060445747188,0.06356992847667847,0.20861279176877254,0.14684952821567887,-0.028425831992651286,0.061637486226811436,0.22808735285129195,0.1349390345217098,0.13504776744705405,0.09246849948483667,0.19306720115975312,0.15739610151719566,0.03014295751509465,0.12596639010830435,0.055170586943112554,0.19152119517692429,0.2108343695203957,-0.048560346516713496,0.3931377950118242
public spaces,0.2710051109819307,0.17204997666493682,0.17029032470403724,0.45064526744251565,0.20501759037498496,0.13781349342545984,0.1403867610500719,0.18875770343197815,0.15843506459919116,0.33176853827282604,0.5458661629292589,0.13188574020901167,0.10647485387952375,0.0,0.07478280441393106,0.3642465843279681,0.1926454890788128,0.220469929956833,0.12682197326388017,-0.00026383257141512906,0.13492439985356186,0.19607595009918405,0.1176086349582662,0.18719340941469353,0.1893188112038126,0.07503550296617037,0.052003473178650686,0.0,0.35943209505528184,0.08923742713698854,0.2602661654620383,0.22646471914261965,0.22616332200070455,0.09460551462907812,0.196303012235387,0.23538328755535973,0.17095792946917876,0.02141696976165382,0.0,0.6797426363484402,0.1805757973373204,0.15270394185437602,0.11107969394917434,0.2361511076312942,0.1653383173924537,0.08164092558678843,0.17849556192967114,0.16562986199262508,0.0832322413661237,0.10814341006368829,0.14145620999022146,0.0,0.1416304226634601,0.16454238874354268,0.1581204362005556,0.1664501499931979,0.2007024020531223,0.19417794974256672,0.26072318550575774,0.1663163551690304,0.12108560445851418,0.36229478079596217,0.15611613794206214,0.13507665616468814,0.13787839158055892,0.40492577549454245,0.3288178830100488,0.13116774244228113,0.14851943265447007,0.1482631480581755,0.1345385805100061,0.21895427828126116,0.10744041663310785,0.2574063345151191
services,0.09793747347369998,0.09922309508838259,0.06347791841975323,0.21294107033507625,0.1764821990080028,0.0542755354459637,0.1790916814697731,0.0615810989544778,0.0628390624733218,0.37108985589989596,0.16633607793715027,0.11665182271818583,0.08137664234105921,0.0,-0.020619287137761906,0.09750302947193389,0.17487908809732444,0.04541267839035655,0.17341394596088752,0.10060565740961355,0.05098004750540542,0.07285651118271814,0.026367370526665164,0.04460558624248468,0.2390418720936482,0.24401718191576774,-0.0029256034163278044,0.0,0.1030237294678624,0.08126696561596954,0.3005524352625908,0.07055228432566601,0.08066875880625364,0.23514419900150843,0.2282510166575173,0.14574154130959333,0.08338567952134028,0.04247190360455101,0.0,0.1814478722136621,0.3055304455885829,0.1862949152959829,-0.015523880329169005,0.08727860711774717,0.12300640279639286,0.08236668287187515,0.18238158046163383,0.14717987496666635,0.141446413571776,0.044864436539145784,0.21233737773839215,0.0,0.04652371523763763,0.12534034710342762,0.21972410238703005,0.14576955597286015,0.03086046060273471,0.09368018389967901,0.058946379142273714,0.012980259346772105,0.10001084043309741,0.10076427804905441,0.09590632716566921,0.13024925084287964,0.015160910352337145,0.14498301140294179,0.2195906078618835,0.027309285715270963,0.19879911671248293,0.2234885261861001,0.1888890016249431,0.11332208792903106,-0.05003951021707943,0.16029489674422542
business,0.1704804252294479,0.175787761482133,0.0997952959740473,0.1711634757328186,0.28116289265035643,0.1837692686272689,0.11194470582384988,0.04631566637718723,0.28415113210393517,0.28409034766805497,0.14727896221148518,0.1647432591443585,0.08701418334240374,0.0,-0.028394410623673934,0.10933779579985677,0.11209110532625513,0.07910591167953958,0.15452458573604683,-0.006759889998254949,0.07252625302941737,0.10512451549117652,0.1711256190404537,0.11375115394153722,0.10572351233791198,0.14685846313562645,0.07416512258142774,0.0,0.09755603390624654,0.046196297411785575,0.14326293846193888,0.1052045928251173,0.21301186628880434,0.29121812156485083,0.4458660164642625,0.183402938239052,0.06928887597515476,0.060610952036532426,0.0,0.273898147392169,0.28157641443337955,0.13254180609258132,0.12573332940630705,0.16439717753991384,0.1420012887188971,0.048767258552699595,0.11374388420498349,0.06317152531395423,0.26546361207694275,0.1400379868770708,0.16412974050843998,0.0,0.05257407995212478,0.14336494563180696,0.1569307686803501,0.2091943348133381,0.07098267383502814,0.08597149797921083,0.1498669829990769,0.17531277558229125,0.043105607418133754,0.07199275455616402,0.058300009527192234,0.16438603999411877,0.0931738865997017,0.0061248183938512925,0.16867940649780885,0.08490311038631805,0.1452071101968253,0.10384123807898879,0.3013572493753724,0.06134914804144482,0.1370403627880693,0.21049323908837303
business workplace,0.21160335303064945,0.2721436051190542,0.12342965993056024,0.2314847196740817,0.26740486560185084,0.20512428415328962,0.11333176847929313,0.03499056448344862,0.2778044397508946,0.36124768844338007,0.18079192772698674,0.15696067511682477,0.03818585531192541,0.0,0.03754349130227043,0.19105720793646974,0.1146143812658445,0.12150720156518571,0.10827001105780962,0.019294954984142534,0.06890829870767094,0.16818356982926153,0.17582524684483064,0.19799523108885053,0.11859992255240134,0.14994961866131418,0.08122995223285896,0.0,0.1403876659342066,0.051135778009538585,0.36912746973951577,0.16981934496937673,0.22838450234413726,0.3204655913583728,0.4115851748214545,0.2327414936157438,0.1260698829809484,0.054089759379010435,0.0,0.33320892844164823,0.2323945941187785,0.0968450509176977,0.19777278561564227,0.18282407124683447,0.1535404827119618,0.10129269224216823,0.04545693275220241,0.13249406034548128,0.2077552992489135,0.2108283554836352,0.12991492434282675,0.0,0.0837593284289074,0.18642408483856893,0.1184734075902979,0.2552316328461709,0.05274075959786745,0.1463423248264434,0.23597112314657875,0.24772854441546674,0.1523547866028041,0.10576979400681132,0.12243048024430536,0.15639779509983673,0.14540528626149768,0.10359218823386596,0.1489321135462791,0.11966446090770289,0.27614136226488134,0.11365220516857208,0.2747041044276842,0.062221001515454,0.20239105070046565,0.24772143493266333
commercial shops,0.2609909460558923,0.14310455026900334,0.0792606295875014,0.26092323183774,0.35087206423886197,0.2300717273922614,0.12291019955219788,0.10353060342430218,0.3367624002801806,0.26209180945702226,0.30395193548023824,0.16809669036189517,0.1501274679410791,0.0,-0.04845451941176938,0.2517400421857656,0.26685064865527686,0.1677146017076377,0.1416960518546436,0.08778950595790265,0.10267970790424572,0.10079989007933904,0.20725689369401334,0.12324345374193292,0.12561390018743634,0.1006590691117739,0.1142002957614063,0.0,0.22836289133700344,0.13376409094571184,0.14926346806120402,0.1792486217915672,0.3900325775114284,0.28471885659977236,0.3106231489100813,0.21301663664280854,0.13814538480113142,0.11901802492467098,0.0,0.30687453945530424,0.25840134622972133,0.12990469538941107,0.24027696202131987,0.2881220078350505,0.2570811975031549,0.08776651602274868,0.25636842993485315,0.15192494845273535,0.24262076272317953,0.12081578134808453,0.19786349833462907,0.0,0.14778246021826108,0.2708756531361459,0.23439451371636574,0.24160036028692417,0.19908999450761827,0.059679867824389,0.11607720908902833,0.3463786870585883,0.03206017305677663,0.22126329163044428,0.18242568835603348,0.14601768129383516,0.13490618119969183,0.2341197854989705,0.2373701172909129,0.18664612683959889,0.12052373479060581,0.1793842109863451,0.38321918121307585,0.13057743914067121,0.2136969671475812,0.32506320738306355
worship,0.1695210479267136,0.2256545995047894,0.10168181328235479,0.18022666461349363,0.11389914065506976,0.13252890362981035,0.05143386672684552,0.1981442695125208,0.15087636925505946,0.2167512095671044,0.1846032744522736,0.08560944915643255,0.01747582299224772,0.0,0.05897444315486161,0.15979397219574376,0.15443429292508365,-0.0007868978315365566,0.06650657039101836,-0.0049700386339696645,0.0927128373944674,0.16485124396385062,0.21495035578936944,0.24252684574132893,0.2579590996534856,0.0997301227975105,0.10286280996924599,0.0,0.16174207134862767,0.1546420637777876,0.24946737530790275,0.19598320009842957,0.15677414680099483,0.0529827063648178,0.10394281261329014,0.06447764620429366,0.13463762310589125,0.03202457278642812,0.0,0.24472896592091142,0.09814475308521502,0.08651932913376947,0.08472358115958116,0.1628388847946617,0.21718770050361763,0.05099515580377418,0.15135689703507665,0.08602537291828627,0.028933647346527796,0.11456587820858967,0.15591347008671697,0.0,0.04605571499339418,0.06623014072890854,0.09655416511271898,0.09343800420456391,0.22850147139767973,0.29066280733253724,0.14654249656686508,0.11749903651255603,0.25383405322593644,0.1597561645341466,0.146386548896798,0.0311300073087145,0.1716938762439957,0.16183933662812724,0.2533155407674743,0.11748740367921948,0.18375696086416168,0.13887913436788843,0.10560371422949968,0.11017035530724872,0.1264446214675017,0.12958113733759727
living,0.11511415714499457,0.24137027285702398,0.19324673695229114,0.1914340779321368,0.241015753231581,0.14048203804914133,0.04338212223834821,0.06857873812995452,0.19590688156096034,0.25577066105653723,0.16298076647801127,0.16763750600741414,0.15745407679196813,0.0,-0.023684114503011618,0.15001976908454004,0.1478726396031516,0.006600510814539374,0.117971819489782,0.03323233555692022,0.1491558014514654,0.09545727305342433,0.22253043145571466,0.13750909525539495,0.31558277215594327,0.1316915048027254,0.0744224161548186,0.0,0.09354443170780213,0.08132840595016239,0.25400250835954835,0.14331210403191746,0.227588656125095,0.11666505667462103,0.02892731022445787,0.07195863318426027,0.20882214726061055,-0.006664812230961441,0.0,0.2141175169975522,0.16391461550312283,0.0822979670190751,0.10380014366950621,0.1781785969995201,0.16389438133880158,0.14248116869489041,0.16578583588862766,0.20195023807588186,0.12733067594184896,0.2196790449303958,0.14893439991951207,0.0,0.037413331141787715,0.09943401431038806,0.11352133164001478,0.12009441460600528,0.15533136547600973,0.155370940960617,0.1590159892691987,0.1630959075547509,0.14749416894424963,0.11386738171262673,0.14375653504195188,0.12442342096831038,0.25804779976406333,0.2047971217545232,0.16079806480126996,0.1689296388007201,0.3570354365784665,0.1717166443093387,0.03700028263397788,0.12270873127236068,0.1288445229319656,0.23727067192942058
