,latitude,longitude,address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,municipality,neighborhood,newDevelopment,numPhotos,operation,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url,parkingSpace
29,44.406331,8.938561,Zara s.c.n,2,it,"{'subTypology': 'penthouse', 'typology': 'flat'}",225,Centro Est,0,GE970,6,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,17,sale,550000,2750,17564349,penthouse,Genova,7,1,200,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Attico in Zara s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/ae/e4/9e/218272347.jpg,https://www.idealista.it/immobile/17564349/,1
30,44.402417,8.937135,"Via Galeazzo Alessi, 8",2,it,{'typology': 'flat'},228,Centro Est,0,21711144-493,1,0,0,1,1,0,Genova,Carignano,0,34,sale,245000,1815,17498375,flat,Genova,8,1,135,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Galeazzo Alessi, 8'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/cb/52/3a/216960148.jpg,https://www.idealista.it/immobile/17498375/,0
31,44.403153,8.940634,Mura di Santa Chiara,3,it,{'typology': 'flat'},230,Centro Est,0,V030 (2309337),0,0,0,1,1,0,Genova,Carignano,0,18,sale,800000,3200,14972415,flat,Genova,6,0,250,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Mura di Santa Chiara'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/d3/49/b7/170508250.jpg,https://www.idealista.it/immobile/14972415/,1
32,44.404415,8.935095,Salita del Prione,1,it,{'typology': 'flat'},249,Centro Est,0,PR.S.SLP2 (664232),4,0,0,1,0,0,Genova,Prè-Molo-Maddalena,0,14,sale,280000,3457,16342145,flat,Genova,4,0,81,good,"{'subtitle': 'Prè-Molo-Maddalena, Genova', 'title': 'Appartamento in Salita del Prione'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/bc/0c/73/194364922.jpg,https://www.idealista.it/immobile/16342145/,0
33,44.402084,8.937773,"corsica, 3",2,it,{'typology': 'flat'},251,Centro Est,0,,2,0,0,1,1,0,Genova,Carignano,0,40,sale,740000,3364,16446782,flat,Genova,8,1,220,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in corsica, 3'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/69/43/3d/196139845.jpg,https://www.idealista.it/immobile/16446782/,0
34,44.405145,8.941184,quartiere San Vincenzo-Portoria,2,it,{'typology': 'flat'},251,Centro Est,0,-54150527,6,0,0,1,0,0,Genova,San Vincenzo-Portoria,0,0,sale,390000,3250,16824443,flat,Genova,4,0,120,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento'}",,https://www.idealista.it/immobile/16824443/,0
35,44.406763,8.937769,quartiere San Vincenzo-Portoria,2,it,{'typology': 'flat'},274,Centro Est,0,-55277613,3,0,0,1,0,0,Genova,San Vincenzo-Portoria,0,19,sale,280000,3500,17831834,flat,Genova,3,0,80,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/b1/4b/1c/223846359.jpg,https://www.idealista.it/immobile/17831834/,0
36,44.406647,8.937077,quartiere San Vincenzo-Portoria,1,it,{'typology': 'flat'},274,Centro Est,0,401 (53314087),2,0,0,1,0,0,Genova,San Vincenzo-Portoria,0,14,sale,340000,4533,10629457,flat,Genova,4,0,75,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/6a/39/d6/154865079.jpg,https://www.idealista.it/immobile/10629457/,0
37,44.402495,8.940574,Via Cesarea,2,it,{'typology': 'flat'},275,Centro Est,0,433236 (433236),3,0,0,1,0,0,Genova,San Vincenzo-Portoria,0,17,sale,460000,3067,15778746,flat,Genova,5,0,150,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via Cesarea'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0e/5c/d9/183463071.jpg,https://www.idealista.it/immobile/15778746/,1
38,44.403758,8.94169,Via XX Settembre,2,it,{'typology': 'flat'},281,Centro Est,0,-2127626,0,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,55,sale,540000,2700,13559065,flat,Genova,10,0,200,,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via XX Settembre'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/a0/68/e2/134890836.jpg,https://www.idealista.it/immobile/13559065/,0
39,44.406021,8.935135,Via di Porta Soprana,1,it,{'typology': 'flat'},310,Centro Est,0,-2526686,2,0,0,0,1,0,Genova,Prè-Molo-Maddalena,0,27,sale,245000,1960,17076628,flat,Genova,6,0,125,,"{'subtitle': 'Prè-Molo-Maddalena, Genova', 'title': 'Appartamento in Via di Porta Soprana'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/91/f7/f3/208411529.jpg,https://www.idealista.it/immobile/17076628/,0
40,44.402212,8.935571,"Via Innocenzo IV, 6",1,it,"{'subTypology': 'penthouse', 'typology': 'flat'}",315,Centro Est,0,21611002-278 (73362312),5,0,0,0,1,0,Genova,Carignano,0,23,sale,139000,2317,16920768,penthouse,Genova,4,1,60,good,"{'subtitle': 'Carignano, Genova', 'title': 'Attico in Via Innocenzo IV, 6'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/3f/11/07/205174185.jpg,https://www.idealista.it/immobile/16920768/,0
41,44.401486,8.938752,"Via Ilva, 3",2,it,{'typology': 'flat'},317,Centro Est,0,21611087-316 (74840794),4,0,0,1,1,0,Genova,Carignano,0,21,sale,450000,4500,17449464,flat,Genova,3,1,100,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Ilva, 3'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/4d/33/a8/215922322.jpg,https://www.idealista.it/immobile/17449464/,1
42,44.401486,8.938752,"Via Ilva, 3",2,it,"{'subTypology': 'penthouse', 'typology': 'flat'}",317,Centro Est,0,21611087-315 (74837430),6,0,0,1,1,0,Genova,Carignano,0,22,sale,950000,6333,17445865,penthouse,Genova,3,1,150,good,"{'subtitle': 'Carignano, Genova', 'title': 'Attico in Via Ilva, 3'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/4b/90/c6/215835499.jpg,https://www.idealista.it/immobile/17445865/,1
43,44.401486,8.938752,"Via Ilva, 3",2,it,{'typology': 'flat'},317,Centro Est,0,21611087-317 (74872202),4,0,0,1,1,0,Genova,Carignano,0,21,sale,390000,4333,17458468,flat,Genova,3,1,90,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Ilva, 3'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/66/a3/00/216118510.jpg,https://www.idealista.it/immobile/17458468/,1
44,44.407177,8.938467,"Via Bartolomeo Bosco, 31",2,it,{'typology': 'flat'},318,Centro Est,0,21711295-71,0,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,9,sale,399000,2217,17626055,flat,Genova,5,1,180,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via Bartolomeo Bosco, 31'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/4d/55/b4/219840109.jpg,https://www.idealista.it/immobile/17626055/,0
45,44.407177,8.938467,"Via Bartolomeo Bosco, 31",2,it,{'typology': 'flat'},318,Centro Est,0,21711295-70,0,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,7,sale,299000,2492,17626054,flat,Genova,4,1,120,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via Bartolomeo Bosco, 31'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/b7/f6/e7/219840102.jpg,https://www.idealista.it/immobile/17626054/,0
