,index,address,bathrooms,country,detailedType,distance,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
253,3,Montenero di Bisaccia,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",594747,False,590 (75401136),,False,False,,False,False,41.95779,14.78184,Montenero di Bisaccia,False,10,sale,,26000.0,255.0,17630184,chalet,Campobasso,4,False,102.0,good,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/cf/c8/8d/219931064.jpg,https://www.idealista.it/immobile/17630184/
254,4,"Via Cagliari, 1",2,it,{'typology': 'flat'},594746,False,,2,False,False,False,False,False,40.120425,8.830131,Ghilarza,False,18,sale,,65000.0,591.0,17894066,flat,Oristano,4,True,110.0,renew,"{'subtitle': 'Ghilarza', 'title': 'Piso en Via Cagliari, 1'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/e3/40/93/225027671.jpg,https://www.idealista.it/immobile/17894066/
255,5,Montenero di Bisaccia,1,it,{'typology': 'flat'},594744,False,RIF.206 (54376343),1,False,False,,False,False,41.9592968,14.7836556,Montenero di Bisaccia,False,13,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",85000.0,739.0,13698974,flat,Campobasso,5,False,115.0,good,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/60/f4/5e/154684455.jpg,https://www.idealista.it/immobile/13698974/
256,6,Castelforte,2,it,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",594743,False,VV0490 (65943861),bj,False,False,,True,False,41.30256,13.81787,Castelforte,False,16,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",180000.0,900.0,13634260,chalet,Latina,5,False,200.0,good,"{'subtitle': 'Castelforte', 'title': 'Chalet adosado'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/f8/40/c8/164819204.jpg,https://www.idealista.it/immobile/13634260/
257,7,Minturno,1,it,{'typology': 'flat'},594743,False,A127VRG,bj,False,False,False,False,False,41.262002,13.746393,Minturno,False,17,sale,,85000.0,1181.0,15462317,flat,Latina,3,False,72.0,good,"{'subtitle': 'Minturno', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/66/43/52/177945727.jpg,https://www.idealista.it/immobile/15462317/
258,8,Minturno,3,it,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",594737,False,VV0421 (56538050),bj,False,False,,False,False,41.26278,13.74767,Minturno,False,20,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",255000.0,1244.0,9746866,chalet,Latina,6,False,205.0,good,"{'subtitle': 'Minturno', 'title': 'Chalet adosado'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0b/5f/53/164811361.jpg,https://www.idealista.it/immobile/9746866/
259,9,Montenero di Bisaccia,1,it,{'typology': 'flat'},594735,False,AM64,,False,False,False,False,False,41.95819,14.78214,Montenero di Bisaccia,False,28,sale,,183000.0,4067.0,17036457,flat,Campobasso,5,False,45.0,,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/bf/5d/bc/224543360.jpg,https://www.idealista.it/immobile/17036457/
260,10,Contrada Quercelle s/n,2,it,{'typology': 'flat'},594727,False,VRA-1544,2,False,False,False,False,False,41.5215704,14.1765027,Monteroduni,False,10,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",95000.0,516.0,16947130,flat,Isernia,5,True,184.0,good,"{'subtitle': 'Monteroduni', 'title': 'Piso en Contrada Quercelle s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/b0/17/f3/213221859.jpg,https://www.idealista.it/immobile/16947130/
261,11,Località località Campora s/n,3,it,"{'typology': 'chalet', 'subTypology': 'villa'}",594727,False,VRA-1538,,False,False,,False,False,41.5215704,14.1765027,Monteroduni,False,16,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",350000.0,70.0,16739191,chalet,Isernia,12,True,5000.0,good,"{'subtitle': 'Monteroduni', 'title': 'Villa en Località località Campora s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/f9/6e/16/201723132.jpg,https://www.idealista.it/immobile/16739191/
262,12,Via Guglielmo Marconi,1,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",594720,False,rif 18/2019,,False,False,,False,False,41.9558089,14.7789083,Montenero di Bisaccia,False,22,sale,,25000.0,294.0,17111916,chalet,Campobasso,3,False,85.0,good,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Casa independiente en Via Guglielmo Marconi'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/13/41/9a/209130333.jpg,https://www.idealista.it/immobile/17111916/
263,13,Vico Trifuri s/n,2,it,{'typology': 'flat'},594710,False,Cp0214,1,False,False,False,False,False,41.2627099,13.7470078,Minturno,False,18,sale,,140000.0,1077.0,17452629,flat,Latina,6,True,130.0,good,"{'subtitle': 'Minturno', 'title': 'Piso en Vico Trifuri s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/28/b7/a0/215990564.jpg,https://www.idealista.it/immobile/17452629/
264,14,Corso Vittorio Emanuele s/n,1,it,{'typology': 'flat'},594710,False,A351,2,False,False,False,False,False,41.2637656,13.7488776,Minturno,False,14,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",85000.0,1000.0,17630424,flat,Latina,3,True,85.0,good,"{'subtitle': 'Minturno', 'title': 'Piso en Corso Vittorio Emanuele s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/24/d8/c9/219934514.jpg,https://www.idealista.it/immobile/17630424/
265,15,Minturno,1,it,{'typology': 'flat'},594707,False,01-V000247,3,False,False,False,True,False,41.262727,13.74697,Minturno,False,31,sale,,58000.0,496.0,17776631,flat,Latina,4,False,117.0,renew,"{'subtitle': 'Minturno', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/a9/84/11/222791040.jpg,https://www.idealista.it/immobile/17776631/
266,16,Via Guglielmo Marconi,2,it,{'typology': 'chalet'},594705,False,595 (75961142),,False,False,,False,False,41.95606,14.7789891,Montenero di Bisaccia,False,13,sale,,48000.0,331.0,17820682,chalet,Campobasso,5,False,145.0,good,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Chalet en Via Guglielmo Marconi'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/66/a9/f9/223643314.jpg,https://www.idealista.it/immobile/17820682/
267,17,Minturno,1,it,{'typology': 'flat'},594704,False,A152VRG,en,False,False,False,False,False,41.2525667,13.7287547,Minturno,False,15,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",128000.0,2327.0,17435378,flat,Latina,3,False,55.0,good,"{'subtitle': 'Minturno', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/cb/41/3b/215636387.jpg,https://www.idealista.it/immobile/17435378/
268,18,Corso VITTORIO EMANUELE,1,it,"{'typology': 'flat', 'subTypology': 'penthouse'}",594704,False,,3,False,False,False,False,False,41.2641656,13.7494776,Minturno,False,10,sale,,69000.0,863.0,16659993,penthouse,Latina,2,False,80.0,good,"{'subtitle': 'Minturno', 'title': 'Ático en Corso VITTORIO EMANUELE'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/32/1c/15/199934160.jpg,https://www.idealista.it/immobile/16659993/
269,19,Corso Vittorio Emanuele s/n,2,it,{'typology': 'flat'},594704,False,CP0135,1,False,False,False,False,False,41.2637187,13.7486747,Minturno,False,23,sale,,300000.0,1111.0,14478002,flat,Latina,8,True,270.0,good,"{'subtitle': 'Minturno', 'title': 'Piso en Corso Vittorio Emanuele s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/ee/38/0b/151649027.jpg,https://www.idealista.it/immobile/14478002/
270,20,Viale europa,2,it,{'typology': 'flat'},594703,False,21,2,False,False,True,False,False,41.9597136,14.7835115,Montenero di Bisaccia,False,23,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",130000.0,929.0,16031067,flat,Campobasso,5,False,140.0,good,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Piso en Viale europa'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/40/63/0f/223254596.jpg,https://www.idealista.it/immobile/16031067/
271,21,Minturno,2,it,{'typology': 'flat'},594691,False,A168VRG,bj,False,False,False,False,False,41.2623075,13.7458994,Minturno,False,19,sale,,125000.0,735.0,17127369,flat,Latina,8,False,170.0,renew,"{'subtitle': 'Minturno', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/b4/d8/04/209422026.jpg,https://www.idealista.it/immobile/17127369/
272,22,Via XXIV Maggio,2,it,{'typology': 'flat'},594683,False,592 (75717962),,False,False,False,False,False,41.9585778,14.7817605,Montenero di Bisaccia,False,12,sale,,93000.0,715.0,17727277,flat,Campobasso,4,False,130.0,good,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Piso en Via XXIV Maggio'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/10/8e/f6/221812752.jpg,https://www.idealista.it/immobile/17727277/
273,23,Minturno,2,it,{'typology': 'flat'},594683,False,01-901,,False,False,,False,False,41.26378,13.74837,Minturno,False,7,sale,,110000.0,917.0,13727095,flat,Latina,4,False,120.0,,"{'subtitle': 'Minturno', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/1b/b9/52/137672166.jpg,https://www.idealista.it/immobile/13727095/
274,24,Minturno,2,it,{'typology': 'flat'},594681,False,01-870,bj,False,False,,False,False,41.263502,13.747846,Minturno,False,19,sale,,260000.0,1857.0,12038654,flat,Latina,5,False,140.0,good,"{'subtitle': 'Minturno', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/3d/28/cb/111075296.jpg,https://www.idealista.it/immobile/12038654/
275,25,Via Giovanni Randaccio s/n,1,it,{'typology': 'flat'},594680,False,A311,en,False,False,False,False,False,41.3006287,13.8132636,Santi Cosma e Damiano,False,25,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",145000.0,763.0,14634119,flat,Latina,3,True,190.0,good,"{'subtitle': 'Santi Cosma e Damiano', 'title': 'Piso en Via Giovanni Randaccio s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/6a/72/3f/155175744.jpg,https://www.idealista.it/immobile/14634119/
276,26,Corso VITTORIO EMANUELE,1,it,{'typology': 'flat'},594680,False,,2,False,False,False,False,False,41.2651656,13.7507776,Minturno,False,12,sale,,69000.0,767.0,16660320,flat,Latina,2,False,90.0,good,"{'subtitle': 'Minturno', 'title': 'Piso en Corso VITTORIO EMANUELE'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/9a/63/d4/199940310.jpg,https://www.idealista.it/immobile/16660320/
277,27,Largo Vittorio Emanuele,1,it,{'typology': 'flat'},594677,False,18/19,1,False,False,False,False,False,41.9596009,14.7829287,Montenero di Bisaccia,False,6,sale,,80000.0,1429.0,16744901,flat,Campobasso,2,False,56.0,good,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Piso en Largo Vittorio Emanuele'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/f1/69/e5/201833029.jpg,https://www.idealista.it/immobile/16744901/
278,28,Piazza ROMA,1,it,{'typology': 'flat'},594667,False,3030,1,False,False,False,False,False,41.2637895,13.7480606,Minturno,False,12,sale,,105000.0,875.0,17388423,flat,Latina,4,False,120.0,renew,"{'subtitle': 'Minturno', 'title': 'Piso en Piazza ROMA'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/09/a3/19/214658554.jpg,https://www.idealista.it/immobile/17388423/
279,29,Minturno,1,it,{'typology': 'flat'},594665,False,A168bVRG,bj,False,False,False,False,False,41.2627075,13.7460994,Minturno,False,9,sale,,58000.0,682.0,17127376,flat,Latina,3,False,85.0,renew,"{'subtitle': 'Minturno', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/56/22/45/209422128.jpg,https://www.idealista.it/immobile/17127376/
280,30,Minturno,4,it,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",594653,False,D43 (67561793),bj,False,False,,False,False,41.26378,13.74777,Minturno,False,17,sale,,185000.0,463.0,14352446,chalet,Latina,6,False,400.0,good,"{'subtitle': 'Minturno', 'title': 'Chalet adosado'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/48/5f/54/149246049.jpg,https://www.idealista.it/immobile/14352446/
281,31,Piazza ROMA,1,it,"{'typology': 'flat', 'subTypology': 'duplex'}",594650,False,,bj,False,False,False,False,False,41.2640895,13.7482606,Minturno,False,7,sale,,30000.0,600.0,16155708,duplex,Latina,2,False,50.0,renew,"{'subtitle': 'Minturno', 'title': 'Dúplex en Piazza ROMA'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/2e/ec/b7/191151540.jpg,https://www.idealista.it/immobile/16155708/
282,32,Santi Cosma e Damiano,1,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",594646,False,Letizia Melis,,False,False,,True,False,41.300269,13.811969,Santi Cosma e Damiano,False,16,sale,,35000.0,389.0,10358867,chalet,Latina,4,False,90.0,renew,"{'subtitle': 'Santi Cosma e Damiano', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/180/id.pro.it.image.master/03/32/fa/72251327.jpg,https://www.idealista.it/immobile/10358867/
283,33,Via per Tufo,2,it,{'typology': 'flat'},594641,False,via per Tufo snc  (72578520),bj,False,False,False,True,False,41.2634661,13.7469791,Minturno,False,15,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",143775.0,1530.0,16630843,flat,Latina,5,False,94.0,good,"{'subtitle': 'Minturno', 'title': 'Piso en Via per Tufo'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/f9/dd/89/199444940.jpg,https://www.idealista.it/immobile/16630843/
284,34,Montenero di Bisaccia,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",594641,False,rif 205 (54380398),,False,False,,True,False,41.9576991,14.7799745,Montenero di Bisaccia,False,27,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",80000.0,485.0,13698978,chalet,Campobasso,5,False,165.0,good,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/03/69/85/173264710.jpg,https://www.idealista.it/immobile/13698978/
285,35,Piazza PORTELLA s/n,1,it,{'typology': 'flat'},594640,False,,3,False,False,False,False,False,41.2633341,13.7467265,Minturno,False,13,sale,,120000.0,800.0,16641118,flat,Latina,3,True,150.0,good,"{'subtitle': 'Minturno', 'title': 'Piso en Piazza PORTELLA s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/77/78/f3/199618599.jpg,https://www.idealista.it/immobile/16641118/
286,36,Via Monte Ducale,1,it,{'typology': 'flat'},594637,False,Cp0113,2,False,False,False,False,False,41.2623559,13.7449202,Minturno,False,11,sale,,55000.0,519.0,12678572,flat,Latina,5,False,106.0,good,"{'subtitle': 'Minturno', 'title': 'Piso en Via Monte Ducale'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/76/7e/ed/113731563.jpg,https://www.idealista.it/immobile/12678572/
287,37,Via santa maria mater domini s/n,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",594634,False,A219,,False,False,,False,False,41.2566922,13.7347378,Minturno,False,13,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",138000.0,1380.0,10295254,chalet,Latina,4,True,100.0,good,"{'subtitle': 'Minturno', 'title': 'Casa independiente en Via santa maria mater domini s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/45/86/50/70901465.jpg,https://www.idealista.it/immobile/10295254/
