key
roof:orientation 
bus yes
railway:tilting 
crop hop
natural reef
government 
lacounty:ain 
car 
female yes
fire_hydrant:pressure 
KSJ2:RIN 
contact:email 
water 
carriageway_ref 
isced:level 
healthcare clinic
TMC:cid_58:tabcd_1:Direction 
KSJ2:PRC_label 
heritage:ref 
toilets:position 
motorboat yes
description:de 
maxspeed:bus 
change:lanes:forward 
highway secondary
attraction 
sport basketball
barrier hedge
capital 
branch 
accuracy 
path 
KSJ2:PRC 
KSJ2:BDC_label 
status 
capacity 15
share_taxi 
species Juglans regia
electrified 
royal_cypher 
diameter 
maxweight 
dispensing yes
mechanical 
metcouncil:wkdy_trips 
payment:visa 
meadow agriculture
class:bicycle:mtb 
aerialway pylon
gnis:feature_id 
protected yes
rednap:grupo 
name:oc 
CLC:year 
surface:grade 
tracktype grade2
LINZ:layer 
review no
KSJ2:curve_id 
ele:accuracy 
genus Acer
power pole
name:zh 
conveying 
railway:atb 
amenity grave_yard
building industrial
damage:type 
highway rest_area
hgv delivery
seamark:distance_mark:distance 
project:mappingforniger 
lanes 
drive_through no
4wd_only 
gnis:county_name 
horse no
voltage 150000
gnis:County 
location:accuracy 
KSJ2:LIN 
design h-frame
highway tertiary
CEMT 
payment:coins 
kvl_hro:amenity 
area 
condition 
massgis:ASSESS_ACR 
waterway stream
crossing_ref 
ship 
heritage yes
buildingpart room
maxspeed 
network ZTM Warszawa
dcgis:featurecode 
CLC:explanation 
tracktype grade1
proposed 
Mapper 
meadow 
STIF:zone 
building:use:pl 
landcover scrub
person:date_of_birth 
railway:switch:electric 
GNS:dsg_string 
landcover 
building:part 
denotation 
GNS:id 
highway:category:pl 
bridge:structure 
ramp yes
arpav_codice_sottobacino 
FMMP_reviewed 
amenity restaurant
light:lit 
substance water
date 
supervised no
circumference 
converted_by Track2osm
abandoned yes
product 
recycling:glass_bottles 
TMC:cid_58:tabcd_1:LCLversion 
pipeline 
KSJ2:COP_label 
iucn_level 
building:levels 
couplings 
lamp_model 
level -1;0
VRS:gemeinde 
transformer 
object:postcode 
CLC:code 
is_in:suburb 
smoking yes
sport boules
self_service 
short_name 
inscription 
LINZ:dataset 
TMC:cid_58:tabcd_1:Class 
Dzielnica 
protected 
delivery yes
NJDOT_SRI 
hgv designated
recycling:clothes 
IPP:CodEdificio 
highway_authority_ref 
authoritative yes
siruta:code_sup 
bus:lanes 
name:es 
SEP:CLAVEESC 
KSJ2:LPN 
club 
is_in 
cycleway 
kvl_hro:type 
name:zh_pinyin 
motorboat 
lit 
shop stationery
amenity drinking_water
TMC:cid_58:tabcd_1:LocationCode 
maxspeed:conditional 
amenity nursing_home
name:vi 
project:eurosha_2012 
dcgis:dataset 
smoothness very_bad
building:roof:shape 
smoothness 
local_ref 2
highway track
amenity parking_entrance
indoor corridor
office telecommunication
dcgis:captureyear 
junction 
bollard removable
mtb:scale:uphill 
golf 
electrified no
loading_gauge GB
siruta:county_id 
amenity recycling
KSJ2:WSC 
fire_hydrant:street 
health_facility:type 
addr2:housenumber 
incline 0.1
NOME 
historic heritage
shop deli
stop 
light:shape 
massgis:OWNER_TYPE 
massgis:ARTICLE97 
covered 
shop car_parts
ID 
crossing:bell 
WroclawGIS:building:date 
clc:year 
divipola 
social_facility:for 
cosmha yes
snowmobile yes
gnis:feature_type 
OBJTYPE 
door hinged
bus 
china_class 
operational_status_quality confirmed
route_ref 
crossing zebra
building:level 
building:architecture 
natural bay
light:method 
building:condition 
KSJ2:RIC 
railway:signal:minor 
couplings 3
massgis:PUB_ACCESS 
religion muslim
parking:condition:left 
is_in:village 
bicycle_parking stands
colour:back 
disused:shop 
admin_level 4
Rzedna_ter 
railway:signal:minor:states 
SK53_bulk:load 
switch disconnector
